//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

acenavam             | 1, 0.3872       | 0
acende               | 4, 1.5488       | 0
acendemos            | 1, 0.3872       | 0
acendendo            | 0               | 1, 1.6451
acender              | 1, 0.3872       | 1, 1.6451
acender-se           | 0               | 1, 1.6451
acenderam            | 2, 0.7744       | 0
acendeu              | 0               | 1, 1.6451
acendido             | 0               | 1, 1.6451
acenou               | 2, 0.7744       | 0
acentua              | 18, 6.9697       | 2, 3.2901
acentua-se           | 5, 1.9360       | 0
acentuada            | 65, 25.1684      | 7, 11.5154
acentuadamente       | 0               | 1, 1.6451
acentuadas           | 0               | 1, 1.6451
acentuado            | 7, 2.7104       | 6, 9.8704
acentuados           | 7, 2.7104       | 0
acentuam             | 5, 1.9360       | 1, 1.6451
acentuam-se          | 4, 1.5488       | 0
acentuando           | 8, 3.0976       | 2, 3.2901
acentuar             | 4, 1.5488       | 0
acentuar-se          | 1, 0.3872       | 0
acentuaram           | 2, 0.7744       | 2, 3.2901
acentuaram-se        | 0               | 3, 4.9352
acentuação           | 1, 0.3872       | 1, 1.6451
acentuou             | 39, 15.1010      | 9, 14.8056
acentuou-se          | 1, 0.3872       | 0
acerca               | 59, 22.8451      | 20, 32.9012
acerca-te            | 1, 0.3872       | 0
acertada             | 8, 3.0976       | 1, 1.6451
acertadas            | 4, 1.5488       | 0
acertado             | 6, 2.3232       | 4, 6.5802
acertados            | 0               | 1, 1.6451
acertam              | 2, 0.7744       | 0
acertando            | 3, 1.1616       | 0
acertar              | 9, 3.4848       | 5, 8.2253
acertaram            | 0               | 2, 3.2901
acertasse            | 2, 0.7744       | 0
acertavam            | 2, 0.7744       | 1, 1.6451
acerto               | 10, 3.8721       | 5, 8.2253
acertos              | 4, 1.5488       | 1, 1.6451
acertou              | 1, 0.3872       | 4, 6.5802
acervo               | 19, 7.3569       | 1, 1.6451
acervos              | 1, 0.3872       | 0
acesa                | 2, 0.7744       | 12, 19.7407
acesas               | 9, 3.4848       | 0
aceso                | 8, 3.0976       | 1, 1.6451
acesos               | 3, 1.1616       | 1, 1.6451
acessado             | 1, 0.3872       | 0
acessibilidade       | 13, 5.0337       | 1, 1.6451
acessibilidades      | 13, 5.0337       | 0
acesso               | 836, 323.7038     | 206, 338.8827
acessos              | 26, 10.0673      | 11, 18.0957
acessíveis           | 17, 6.5825       | 9, 14.8056
acessível            | 23, 8.9057       | 10, 16.4506
acessória            | 0               | 5, 8.2253
acessórias           | 0               | 3, 4.9352
acessório            | 4, 1.5488       | 0
